"","Date","Species","site","transect","average_value","Week","month","year","YearMonth","YearMonthSite","WeekYearSite","cape"
"46",2023-05-21,"Hedophyllum sessile","RP",3,4.83333333333333,"20","05","23",May 2023,"May 2023_RP","20_23_RP","Blanco"
"47",2023-05-21,"Hedophyllum sessile","RP",4,5.66666666666667,"20","05","23",May 2023,"May 2023_RP","20_23_RP","Blanco"
"48",2023-05-21,"Hedophyllum sessile","RP",5,3.57142857142857,"20","05","23",May 2023,"May 2023_RP","20_23_RP","Blanco"
"49",2023-05-22,"Postelsia palmaeformis","FC",1,33,"20","05","23",May 2023,"May 2023_FC","20_23_FC","Foulweather"
"50",2023-05-22,"Postelsia palmaeformis","FC",2,35.3333333333333,"20","05","23",May 2023,"May 2023_FC","20_23_FC","Foulweather"
"51",2023-05-22,"Postelsia palmaeformis","FC",3,59.5,"20","05","23",May 2023,"May 2023_FC","20_23_FC","Foulweather"
"52",2023-05-22,"Postelsia palmaeformis","FC",4,49,"20","05","23",May 2023,"May 2023_FC","20_23_FC","Foulweather"
"53",2023-05-22,"Postelsia palmaeformis","FC",5,83.5,"20","05","23",May 2023,"May 2023_FC","20_23_FC","Foulweather"
"54",2023-06-02,"Hedophyllum sessile","YB",1,5.76190476190476,"22","06","23",Jun 2023,"Jun 2023_YB","22_23_YB","Perpetua"
"55",2023-06-02,"Hedophyllum sessile","YB",2,2.33333333333333,"22","06","23",Jun 2023,"Jun 2023_YB","22_23_YB","Perpetua"
"56",2023-06-02,"Hedophyllum sessile","YB",3,2.05882352941176,"22","06","23",Jun 2023,"Jun 2023_YB","22_23_YB","Perpetua"
"57",2023-06-02,"Postelsia palmaeformis","YB",1,3,"22","06","23",Jun 2023,"Jun 2023_YB","22_23_YB","Perpetua"
"58",2023-06-02,"Postelsia palmaeformis","YB",2,15,"22","06","23",Jun 2023,"Jun 2023_YB","22_23_YB","Perpetua"
"59",2023-06-02,"Postelsia palmaeformis","YB",3,23.3333333333333,"22","06","23",Jun 2023,"Jun 2023_YB","22_23_YB","Perpetua"
"60",2023-06-02,"Postelsia palmaeformis","YB",4,16.3333333333333,"22","06","23",Jun 2023,"Jun 2023_YB","22_23_YB","Perpetua"
"61",2023-06-02,"Postelsia palmaeformis","YB",5,34.3333333333333,"22","06","23",Jun 2023,"Jun 2023_YB","22_23_YB","Perpetua"
"62",2023-06-06,"Egregia menziesii","FC",1,0.2,"23","06","23",Jun 2023,"Jun 2023_FC","23_23_FC","Foulweather"
"63",2023-06-06,"Egregia menziesii","FC",3,2.77777777777778,"23","06","23",Jun 2023,"Jun 2023_FC","23_23_FC","Foulweather"
"64",2023-06-06,"Egregia menziesii","FC",5,7.4,"23","06","23",Jun 2023,"Jun 2023_FC","23_23_FC","Foulweather"
"65",2023-06-06,"Hedophyllum sessile","FC",1,2.33333333333333,"23","06","23",Jun 2023,"Jun 2023_FC","23_23_FC","Foulweather"
"66",2023-06-06,"Hedophyllum sessile","FC",2,2.66666666666667,"23","06","23",Jun 2023,"Jun 2023_FC","23_23_FC","Foulweather"
"67",2023-06-06,"Hedophyllum sessile","FC",4,3.28571428571429,"23","06","23",Jun 2023,"Jun 2023_FC","23_23_FC","Foulweather"
"68",2023-06-06,"Lessoniopsis littoralis","FC",4,1.33333333333333,"23","06","23",Jun 2023,"Jun 2023_FC","23_23_FC","Foulweather"
"69",2023-06-06,"Postelsia palmaeformis","FC",1,10,"23","06","23",Jun 2023,"Jun 2023_FC","23_23_FC","Foulweather"
"70",2023-06-06,"Postelsia palmaeformis","FC",2,28,"23","06","23",Jun 2023,"Jun 2023_FC","23_23_FC","Foulweather"
"71",2023-06-06,"Postelsia palmaeformis","FC",3,23,"23","06","23",Jun 2023,"Jun 2023_FC","23_23_FC","Foulweather"
"72",2023-06-06,"Postelsia palmaeformis","FC",4,10.3333333333333,"23","06","23",Jun 2023,"Jun 2023_FC","23_23_FC","Foulweather"
"73",2023-06-06,"Postelsia palmaeformis","FC",5,44.5,"23","06","23",Jun 2023,"Jun 2023_FC","23_23_FC","Foulweather"
"74",2023-06-07,"Hedophyllum sessile","BB",4,3.83333333333333,"23","06","23",Jun 2023,"Jun 2023_BB","23_23_BB","Foulweather"
"75",2023-06-08,"Hedophyllum sessile","SH",1,2,"23","06","23",Jun 2023,"Jun 2023_SH","23_23_SH","Perpetua"
"76",2023-06-08,"Hedophyllum sessile","SH",2,2.33333333333333,"23","06","23",Jun 2023,"Jun 2023_SH","23_23_SH","Perpetua"
"77",2023-06-08,"Hedophyllum sessile","SH",3,2.45454545454545,"23","06","23",Jun 2023,"Jun 2023_SH","23_23_SH","Perpetua"
"78",2023-06-08,"Hedophyllum sessile","SH",4,3.71428571428571,"23","06","23",Jun 2023,"Jun 2023_SH","23_23_SH","Perpetua"
"79",2023-06-08,"Hedophyllum sessile","SH",5,2.125,"23","06","23",Jun 2023,"Jun 2023_SH","23_23_SH","Perpetua"
"80",2023-06-16,"Alaria marginata","CB",1,1.625,"24","06","23",Jun 2023,"Jun 2023_CB","24_23_CB","Blanco"
"81",2023-06-16,"Alaria marginata","CB",2,0.666666666666667,"24","06","23",Jun 2023,"Jun 2023_CB","24_23_CB","Blanco"
"82",2023-06-16,"Alaria marginata","CB",3,2.22222222222222,"24","06","23",Jun 2023,"Jun 2023_CB","24_23_CB","Blanco"
"83",2023-06-16,"Alaria marginata","CB",4,4.7,"24","06","23",Jun 2023,"Jun 2023_CB","24_23_CB","Blanco"
"84",2023-06-16,"Alaria marginata","CB",5,2.22222222222222,"24","06","23",Jun 2023,"Jun 2023_CB","24_23_CB","Blanco"
"85",2023-06-17,"Alaria marginata","RP",1,6.64285714285714,"24","06","23",Jun 2023,"Jun 2023_RP","24_23_RP","Blanco"
"86",2023-06-17,"Alaria marginata","RP",2,1.14285714285714,"24","06","23",Jun 2023,"Jun 2023_RP","24_23_RP","Blanco"
"87",2023-06-17,"Alaria marginata","RP",3,3.76923076923077,"24","06","23",Jun 2023,"Jun 2023_RP","24_23_RP","Blanco"
"88",2023-06-17,"Alaria marginata","RP",4,3.14285714285714,"24","06","23",Jun 2023,"Jun 2023_RP","24_23_RP","Blanco"
"89",2023-06-17,"Alaria marginata","RP",5,4,"24","06","23",Jun 2023,"Jun 2023_RP","24_23_RP","Blanco"
"90",2023-06-17,"Egregia menziesii","RP",1,2,"24","06","23",Jun 2023,"Jun 2023_RP","24_23_RP","Blanco"
"91",2023-06-17,"Egregia menziesii","RP",2,0,"24","06","23",Jun 2023,"Jun 2023_RP","24_23_RP","Blanco"
"92",2023-06-17,"Egregia menziesii","RP",3,0,"24","06","23",Jun 2023,"Jun 2023_RP","24_23_RP","Blanco"
"93",2023-06-17,"Hedophyllum sessile","RP",1,2.14285714285714,"24","06","23",Jun 2023,"Jun 2023_RP","24_23_RP","Blanco"
"94",2023-06-17,"Hedophyllum sessile","RP",2,1.75,"24","06","23",Jun 2023,"Jun 2023_RP","24_23_RP","Blanco"
"95",2023-06-17,"Hedophyllum sessile","RP",3,2.4,"24","06","23",Jun 2023,"Jun 2023_RP","24_23_RP","Blanco"
"96",2023-06-17,"Hedophyllum sessile","RP",4,2.45454545454545,"24","06","23",Jun 2023,"Jun 2023_RP","24_23_RP","Blanco"
"97",2023-06-17,"Hedophyllum sessile","RP",5,2,"24","06","23",Jun 2023,"Jun 2023_RP","24_23_RP","Blanco"
"98",2023-06-18,"Hedophyllum sessile","FC",1,1.66666666666667,"24","06","23",Jun 2023,"Jun 2023_FC","24_23_FC","Foulweather"
"99",2023-06-18,"Hedophyllum sessile","FC",2,1.5,"24","06","23",Jun 2023,"Jun 2023_FC","24_23_FC","Foulweather"
"100",2023-06-18,"Hedophyllum sessile","FC",3,5.15384615384615,"24","06","23",Jun 2023,"Jun 2023_FC","24_23_FC","Foulweather"
"101",2023-06-18,"Hedophyllum sessile","FC",5,1.69230769230769,"24","06","23",Jun 2023,"Jun 2023_FC","24_23_FC","Foulweather"
"102",2023-06-18,"Postelsia palmaeformis","FC",1,7.33333333333333,"24","06","23",Jun 2023,"Jun 2023_FC","24_23_FC","Foulweather"
"103",2023-06-19,"Alaria marginata","BB",2,2.2,"24","06","23",Jun 2023,"Jun 2023_BB","24_23_BB","Foulweather"
"104",2023-06-19,"Alaria marginata","BB",4,1.9,"24","06","23",Jun 2023,"Jun 2023_BB","24_23_BB","Foulweather"
"105",2023-06-19,"Hedophyllum sessile","BB",3,1.63636363636364,"24","06","23",Jun 2023,"Jun 2023_BB","24_23_BB","Foulweather"
"106",2023-06-19,"Hedophyllum sessile","BB",4,2.85714285714286,"24","06","23",Jun 2023,"Jun 2023_BB","24_23_BB","Foulweather"
"107",2023-06-19,"Hedophyllum sessile","BB",5,2.08333333333333,"24","06","23",Jun 2023,"Jun 2023_BB","24_23_BB","Foulweather"
"108",2023-06-20,"Egregia menziesii","SH",1,0,"25","06","23",Jun 2023,"Jun 2023_SH","25_23_SH","Perpetua"
"109",2023-06-20,"Egregia menziesii","SH",2,1.66666666666667,"25","06","23",Jun 2023,"Jun 2023_SH","25_23_SH","Perpetua"
"110",2023-06-20,"Egregia menziesii","SH",5,2.8,"25","06","23",Jun 2023,"Jun 2023_SH","25_23_SH","Perpetua"
"111",2023-06-20,"Hedophyllum sessile","SH",1,1,"25","06","23",Jun 2023,"Jun 2023_SH","25_23_SH","Perpetua"
"112",2023-06-20,"Hedophyllum sessile","SH",2,1.75,"25","06","23",Jun 2023,"Jun 2023_SH","25_23_SH","Perpetua"
"113",2023-06-20,"Hedophyllum sessile","SH",3,1.66666666666667,"25","06","23",Jun 2023,"Jun 2023_SH","25_23_SH","Perpetua"
"114",2023-06-20,"Hedophyllum sessile","SH",5,1.35714285714286,"25","06","23",Jun 2023,"Jun 2023_SH","25_23_SH","Perpetua"
"115",2023-06-20,"Laminaria sinclairii","SH",1,34,"25","06","23",Jun 2023,"Jun 2023_SH","25_23_SH","Perpetua"
"116",2023-06-20,"Laminaria sinclairii","SH",2,19.75,"25","06","23",Jun 2023,"Jun 2023_SH","25_23_SH","Perpetua"
"117",2023-06-20,"Laminaria sinclairii","SH",3,33.5,"25","06","23",Jun 2023,"Jun 2023_SH","25_23_SH","Perpetua"
"118",2023-06-20,"Laminaria sinclairii","SH",4,81,"25","06","23",Jun 2023,"Jun 2023_SH","25_23_SH","Perpetua"
"119",2023-06-20,"Laminaria sinclairii","SH",5,46.3333333333333,"25","06","23",Jun 2023,"Jun 2023_SH","25_23_SH","Perpetua"
"120",2023-06-21,"Egregia menziesii","YB",1,0.5,"25","06","23",Jun 2023,"Jun 2023_YB","25_23_YB","Perpetua"
"121",2023-06-21,"Egregia menziesii","YB",4,1,"25","06","23",Jun 2023,"Jun 2023_YB","25_23_YB","Perpetua"
"122",2023-06-21,"Hedophyllum sessile","YB",1,1.26666666666667,"25","06","23",Jun 2023,"Jun 2023_YB","25_23_YB","Perpetua"
"123",2023-06-21,"Hedophyllum sessile","YB",2,1.33333333333333,"25","06","23",Jun 2023,"Jun 2023_YB","25_23_YB","Perpetua"
"124",2023-06-21,"Hedophyllum sessile","YB",4,2,"25","06","23",Jun 2023,"Jun 2023_YB","25_23_YB","Perpetua"
"125",2023-06-21,"Hedophyllum sessile","YB",5,4.72727272727273,"25","06","23",Jun 2023,"Jun 2023_YB","25_23_YB","Perpetua"
"126",2023-06-21,"Postelsia palmaeformis","YB",1,4,"25","06","23",Jun 2023,"Jun 2023_YB","25_23_YB","Perpetua"
"127",2023-06-21,"Postelsia palmaeformis","YB",2,17,"25","06","23",Jun 2023,"Jun 2023_YB","25_23_YB","Perpetua"
"128",2023-06-21,"Postelsia palmaeformis","YB",3,15.6666666666667,"25","06","23",Jun 2023,"Jun 2023_YB","25_23_YB","Perpetua"
"129",2023-06-21,"Postelsia palmaeformis","YB",4,19.5,"25","06","23",Jun 2023,"Jun 2023_YB","25_23_YB","Perpetua"
"130",2023-06-21,"Postelsia palmaeformis","YB",5,16.3333333333333,"25","06","23",Jun 2023,"Jun 2023_YB","25_23_YB","Perpetua"
"131",2023-07-03,"Egregia menziesii","BB",1,0,"26","07","23",Jul 2023,"Jul 2023_BB","26_23_BB","Foulweather"
"132",2023-07-03,"Egregia menziesii","BB",2,0.5,"26","07","23",Jul 2023,"Jul 2023_BB","26_23_BB","Foulweather"
"133",2023-07-03,"Egregia menziesii","BB",3,1,"26","07","23",Jul 2023,"Jul 2023_BB","26_23_BB","Foulweather"
"134",2023-07-03,"Egregia menziesii","BB",4,0.2,"26","07","23",Jul 2023,"Jul 2023_BB","26_23_BB","Foulweather"
"135",2023-07-03,"Egregia menziesii","BB",5,0.4,"26","07","23",Jul 2023,"Jul 2023_BB","26_23_BB","Foulweather"
"136",2023-07-03,"Lessoniopsis littoralis","BB",1,2.72727272727273,"26","07","23",Jul 2023,"Jul 2023_BB","26_23_BB","Foulweather"
"137",2023-07-03,"Lessoniopsis littoralis","BB",2,4.61538461538461,"26","07","23",Jul 2023,"Jul 2023_BB","26_23_BB","Foulweather"
"138",2023-07-03,"Lessoniopsis littoralis","BB",4,1.16666666666667,"26","07","23",Jul 2023,"Jul 2023_BB","26_23_BB","Foulweather"
"139",2023-07-03,"Lessoniopsis littoralis","BB",5,1.6,"26","07","23",Jul 2023,"Jul 2023_BB","26_23_BB","Foulweather"
"140",2023-07-04,"Egregia menziesii","SH",1,0,"27","07","23",Jul 2023,"Jul 2023_SH","27_23_SH","Perpetua"
"141",2023-07-04,"Egregia menziesii","SH",2,0.8,"27","07","23",Jul 2023,"Jul 2023_SH","27_23_SH","Perpetua"
"142",2023-07-04,"Egregia menziesii","SH",3,0.6,"27","07","23",Jul 2023,"Jul 2023_SH","27_23_SH","Perpetua"
"143",2023-07-04,"Egregia menziesii","SH",5,0.8,"27","07","23",Jul 2023,"Jul 2023_SH","27_23_SH","Perpetua"
"144",2023-07-04,"Egregia menziesii","YB",1,0.666666666666667,"27","07","23",Jul 2023,"Jul 2023_YB","27_23_YB","Perpetua"
"145",2023-07-04,"Egregia menziesii","YB",2,1,"27","07","23",Jul 2023,"Jul 2023_YB","27_23_YB","Perpetua"
"146",2023-07-04,"Egregia menziesii","YB",3,0.666666666666667,"27","07","23",Jul 2023,"Jul 2023_YB","27_23_YB","Perpetua"
"147",2023-07-04,"Hedophyllum sessile","SH",1,1.57142857142857,"27","07","23",Jul 2023,"Jul 2023_SH","27_23_SH","Perpetua"
"148",2023-07-04,"Hedophyllum sessile","SH",2,2.66666666666667,"27","07","23",Jul 2023,"Jul 2023_SH","27_23_SH","Perpetua"
"149",2023-07-04,"Hedophyllum sessile","SH",3,1.66666666666667,"27","07","23",Jul 2023,"Jul 2023_SH","27_23_SH","Perpetua"
"150",2023-07-04,"Hedophyllum sessile","SH",4,1.5,"27","07","23",Jul 2023,"Jul 2023_SH","27_23_SH","Perpetua"
"151",2023-07-04,"Hedophyllum sessile","SH",5,1,"27","07","23",Jul 2023,"Jul 2023_SH","27_23_SH","Perpetua"
"152",2023-07-04,"Hedophyllum sessile","YB",1,1.27272727272727,"27","07","23",Jul 2023,"Jul 2023_YB","27_23_YB","Perpetua"
"153",2023-07-04,"Hedophyllum sessile","YB",2,0.428571428571429,"27","07","23",Jul 2023,"Jul 2023_YB","27_23_YB","Perpetua"
"154",2023-07-04,"Hedophyllum sessile","YB",3,1.44444444444444,"27","07","23",Jul 2023,"Jul 2023_YB","27_23_YB","Perpetua"
"155",2023-07-04,"Hedophyllum sessile","YB",4,2.16666666666667,"27","07","23",Jul 2023,"Jul 2023_YB","27_23_YB","Perpetua"
"156",2023-07-04,"Hedophyllum sessile","YB",5,1.33333333333333,"27","07","23",Jul 2023,"Jul 2023_YB","27_23_YB","Perpetua"
"157",2023-07-04,"Laminaria sinclairii","SH",1,73,"27","07","23",Jul 2023,"Jul 2023_SH","27_23_SH","Perpetua"
"158",2023-07-04,"Laminaria sinclairii","SH",2,21.6666666666667,"27","07","23",Jul 2023,"Jul 2023_SH","27_23_SH","Perpetua"
"159",2023-07-04,"Laminaria sinclairii","SH",3,39.5,"27","07","23",Jul 2023,"Jul 2023_SH","27_23_SH","Perpetua"
"160",2023-07-04,"Laminaria sinclairii","SH",4,27,"27","07","23",Jul 2023,"Jul 2023_SH","27_23_SH","Perpetua"
"161",2023-07-04,"Laminaria sinclairii","SH",5,20.6666666666667,"27","07","23",Jul 2023,"Jul 2023_SH","27_23_SH","Perpetua"
"162",2023-07-04,"Laminaria sinclairii","YB",1,20,"27","07","23",Jul 2023,"Jul 2023_YB","27_23_YB","Perpetua"
"163",2023-07-04,"Laminaria sinclairii","YB",2,18.6666666666667,"27","07","23",Jul 2023,"Jul 2023_YB","27_23_YB","Perpetua"
"164",2023-07-04,"Laminaria sinclairii","YB",3,10.75,"27","07","23",Jul 2023,"Jul 2023_YB","27_23_YB","Perpetua"
"165",2023-07-04,"Laminaria sinclairii","YB",4,15.25,"27","07","23",Jul 2023,"Jul 2023_YB","27_23_YB","Perpetua"
"166",2023-07-04,"Laminaria sinclairii","YB",5,26.6666666666667,"27","07","23",Jul 2023,"Jul 2023_YB","27_23_YB","Perpetua"
"167",2023-07-04,"Postelsia palmaeformis","YB",1,5,"27","07","23",Jul 2023,"Jul 2023_YB","27_23_YB","Perpetua"
"168",2023-07-04,"Postelsia palmaeformis","YB",2,11.6666666666667,"27","07","23",Jul 2023,"Jul 2023_YB","27_23_YB","Perpetua"
"169",2023-07-04,"Postelsia palmaeformis","YB",3,13.8571428571429,"27","07","23",Jul 2023,"Jul 2023_YB","27_23_YB","Perpetua"
"170",2023-07-04,"Postelsia palmaeformis","YB",4,7.75,"27","07","23",Jul 2023,"Jul 2023_YB","27_23_YB","Perpetua"
"171",2023-07-08,"Hedophyllum sessile","CB",1,0,"27","07","23",Jul 2023,"Jul 2023_CB","27_23_CB","Blanco"
"172",2023-07-08,"Hedophyllum sessile","CB",2,1,"27","07","23",Jul 2023,"Jul 2023_CB","27_23_CB","Blanco"
"173",2023-07-08,"Hedophyllum sessile","CB",3,1.33333333333333,"27","07","23",Jul 2023,"Jul 2023_CB","27_23_CB","Blanco"
"174",2023-07-08,"Hedophyllum sessile","CB",4,1,"27","07","23",Jul 2023,"Jul 2023_CB","27_23_CB","Blanco"
"175",2023-07-08,"Hedophyllum sessile","CB",5,0.4,"27","07","23",Jul 2023,"Jul 2023_CB","27_23_CB","Blanco"
"176",2023-07-14,"Egregia menziesii","YB",1,0.6,"28","07","23",Jul 2023,"Jul 2023_YB","28_23_YB","Perpetua"
"177",2023-07-14,"Egregia menziesii","YB",2,0.4,"28","07","23",Jul 2023,"Jul 2023_YB","28_23_YB","Perpetua"
"178",2023-07-14,"Egregia menziesii","YB",3,0.75,"28","07","23",Jul 2023,"Jul 2023_YB","28_23_YB","Perpetua"
"179",2023-07-14,"Hedophyllum sessile","YB",3,0.2,"28","07","23",Jul 2023,"Jul 2023_YB","28_23_YB","Perpetua"
"180",2023-07-14,"Hedophyllum sessile","YB",4,0.666666666666667,"28","07","23",Jul 2023,"Jul 2023_YB","28_23_YB","Perpetua"
"181",2023-07-14,"Postelsia palmaeformis","YB",1,2.33333333333333,"28","07","23",Jul 2023,"Jul 2023_YB","28_23_YB","Perpetua"
"182",2023-07-14,"Postelsia palmaeformis","YB",2,14,"28","07","23",Jul 2023,"Jul 2023_YB","28_23_YB","Perpetua"
"183",2023-07-14,"Postelsia palmaeformis","YB",3,15.5,"28","07","23",Jul 2023,"Jul 2023_YB","28_23_YB","Perpetua"
"184",2023-07-14,"Postelsia palmaeformis","YB",4,15.5,"28","07","23",Jul 2023,"Jul 2023_YB","28_23_YB","Perpetua"
"185",2023-07-14,"Postelsia palmaeformis","YB",5,18.3333333333333,"28","07","23",Jul 2023,"Jul 2023_YB","28_23_YB","Perpetua"
"186",2023-07-15,"Alaria marginata","RP",1,5.42857142857143,"28","07","23",Jul 2023,"Jul 2023_RP","28_23_RP","Blanco"
"187",2023-07-15,"Alaria marginata","RP",2,0.4,"28","07","23",Jul 2023,"Jul 2023_RP","28_23_RP","Blanco"
"188",2023-07-15,"Alaria marginata","RP",3,2.57142857142857,"28","07","23",Jul 2023,"Jul 2023_RP","28_23_RP","Blanco"
"189",2023-07-15,"Alaria marginata","RP",4,3.25,"28","07","23",Jul 2023,"Jul 2023_RP","28_23_RP","Blanco"
"190",2023-07-15,"Alaria marginata","RP",5,1.4,"28","07","23",Jul 2023,"Jul 2023_RP","28_23_RP","Blanco"
"191",2023-07-15,"Egregia menziesii","RP",1,0.4,"28","07","23",Jul 2023,"Jul 2023_RP","28_23_RP","Blanco"
"192",2023-07-15,"Egregia menziesii","RP",2,0.2,"28","07","23",Jul 2023,"Jul 2023_RP","28_23_RP","Blanco"
"193",2023-07-15,"Egregia menziesii","RP",3,0,"28","07","23",Jul 2023,"Jul 2023_RP","28_23_RP","Blanco"
"194",2023-07-15,"Egregia menziesii","RP",4,0,"28","07","23",Jul 2023,"Jul 2023_RP","28_23_RP","Blanco"
"195",2023-07-15,"Egregia menziesii","RP",5,0.2,"28","07","23",Jul 2023,"Jul 2023_RP","28_23_RP","Blanco"
"196",2023-07-15,"Hedophyllum sessile","RP",1,1.375,"28","07","23",Jul 2023,"Jul 2023_RP","28_23_RP","Blanco"
"197",2023-07-15,"Hedophyllum sessile","RP",2,1.66666666666667,"28","07","23",Jul 2023,"Jul 2023_RP","28_23_RP","Blanco"
"198",2023-07-15,"Hedophyllum sessile","RP",3,1.14285714285714,"28","07","23",Jul 2023,"Jul 2023_RP","28_23_RP","Blanco"
